Raw Tweets,Preprocessed Tweets
@TheKeralaPolice The player is @Kylian Mbappé who fought back from a certain place to conquer🔥,thekeralapolic player kylian mbapp fought back certain place conquer
@TheKeralaPolice arrest this lunatic! (and this be the first sensible thing you've done in 2022 after all those populism and social media pattishows) https://t.co/AWaTcF8DUh,thekeralapolic arrest lunat first sensibl thing youv done 2022 popul social media pattishow httpstcoawatcf8duh
"@TheKeralaPolice അപ്പോൾ 4 ക്യാമറയുള്ള ഫോൺ ഫോട്ടോയിൽ എത്ര കണ്ണ് വേണം?
ഒരു ലോജിക് ഇല്ലാത്ത പരസ്യം ഇട്ട് പൊതുജനം അറിവ് നൽകുന്ന രീതിയിൽ മാറ്റം വരുത്തി, സ്കൂൾ കോളേജ് തലങ്ങളിൽ ട്രാഫിക് ബോധവൽക്കരണ ക്ലാസുകൾ സംഘടിപ്പിച്ചു യുവജനതയെ ഉണർത്തുക. ഇപ്പോൾ മിക്ക അപകടങ്ങൾ ഡ്രൈവിംഗ് സമയം മൊബൈൽ ഉപയോഗം കൊണ്ട് മാത്രം🙏",thekeralapolic 4
"@TheKeralaPolice "" you(KP) said it""✅",thekeralapolic youkp said it
"Joy and Violence as Kerala celebrates Argentina win

@MSKiranPrakash @PaulCithara @sanesh_TNIE @VABDURAHIMAN1 @pinarayivijayan @SPC_Kerala @TheKeralaPolice #FIFAWorldCup #FIFAWorldCupFinal #ArgentinaVsFrance #Kerala https://t.co/atvanwMJ59",joy violenc kerala celebr argentina win mskiranprakash paulcithara saneshtni vabdurahiman1 pinarayivijayan spckerala thekeralapolic fifaworldcup fifaworldcupfin argentinavsfr kerala httpstcoatvanwmj59
@TheKeralaPolice It's not 3 on the road. It's actually five ! https://t.co/6IdPuXsmlf,thekeralapolic 3 road actual five httpstco6idpuxsmlf
"Sivagiri Mutt Varkala TVM Kerala State, Legal Advisor Manoj surrendered at Varkala Police Station and was produced to the Magistrate 8PM. @RahulGandhi @KeralaGovernor @pinarayivijayan @TheKeralaPolice @manoramanews @AsianetNewsML @IMPCA3 @mediaacademic2 @CPIMKerala @vdsatheesan https://t.co/ucsqGY7O3O",sivagiri mutt varkala tvm kerala state legal advisor manoj surrend varkala polic station produc magistr 8pm rahulgandhi keralagovernor pinarayivijayan thekeralapolic manoramanew asianetnewsml impca3 mediaacademic2 cpimkerala vdsatheesan httpstcoucsqgy7o3o
@jaleelozr1 @TheKeralaPolice Ok bie,jaleelozr1 thekeralapolic ok bie
"@Capt_aadhi പടച്ചോനെ 
@TheKeralaPolice  ഹെൽമെറ്റ്‌ ഇല്ലാതെ ഷൂട്ടിങ്
പെറ്റി വാങ്ങിക്കോ",captaadhi thekeralapolic
@TheKeralaPolice റോഡ് ഒന്ന് നന്നാക്കി തായോ,thekeralapolic
@mohandastg @TheKeralaPolice social media vazhi inganeyoru vargeeyatha vilambunnath kanditt ningalkk anakkam illee🤔,mohandastg thekeralapolic social media vazhi inganeyoru vargeeyatha vilambunnath kanditt ningalkk anakkam ille
"@TheKeralaPolice I was flying nano category (249 grams) zoom over one of the beaches in kerela and was stopped by Kerela police and questioned if I have permission/permit, etc.
My understanding is Ministry of Civil Aviation has allowed flying of nano category with no license.",thekeralapolic fli nano categori 249 gram zoom one beach kerela stop kerela polic question permissionpermit etc understand ministri civil aviat allow fli nano categori licens
"@TheKeralaPolice റോഡ് നിയമങ്ങൾ മാത്രം പാലിച്ചാൽ മതിയോ? ക്രിമിനൽ നിയമങ്ങൾ DGP തന്നെ ലംഘിക്കുന്നു, ക്രിമിനലുകളെ സംരക്ഷിച്ച് സ്വയം ക്രിമിനലായി മാറി. എന്നിട്ട് മറ്റുള്ളവർക്ക് ഫ്രീ ഉപദേശവും. നാറിയ പോലീസ് ഭരണം.",thekeralapolic dgp
"@arunmr_ @VREJIKUMAR @TheKeralaPolice Uff... കിട്ടിയ 5ചാൻസ് പാഴാക്കിയില്ല ലെ.. ഗുഡ്.. 
ഒപ്പു വെച്ച് ആളെ പിടിക്കാൻ പഠിപ്പിക്കണ ക്ലാസ്സിൽ പഠിച്ചില്ല.. നീണ്ട പനി ആയിരുന്നു . 
അതായിരിക്കും  ആശാൻ ക്ഷമി 😬😁😁",arunmr vrejikumar thekeralapolic uff 5
