7156.952664,3823.123891,4524.927002
6848.078666,3686.448731,4383.529130
6550.753999,3553.722556,4245.493666
6264.620195,3424.861623,4110.767010
5989.327872,3299.783360,3979.296000
5724.536570,3178.406361,3851.027906
5469.914590,3060.650379,3725.910434
5225.138839,2946.436315,3603.891722
4989.894670,2835.686210,3484.920346
4763.875732,2728.323242,3368.945312
4546.783816,2624.271711,3255.916066
4338.328705,2523.457034,3145.782482
4138.228027,2425.805738,3038.494874
3946.207110,2331.245450,2934.003986
3761.998838,2239.704890,2832.261000
3585.343509,2151.113861,2733.217530
3415.988694,2065.403245,2636.825626
3253.689104,1982.504989,2543.037770
3098.206449,1902.352102,2451.806882
2949.309307,1824.878644,2363.086313
2806.772992,1750.019720,2276.829850
2670.379423,1677.711469,2192.991714
2539.917000,1607.891059,2111.526562
2415.180471,1540.496677,2032.389482
2295.970816,1475.467520,1955.536000
2182.095117,1412.743790,1880.922074
2073.366444,1352.266684,1808.504098
1969.603733,1293.978383,1738.238898
1870.631669,1237.822052,1670.083738
1776.280573,1183.741821,1603.996312
1686.386291,1131.682787,1539.934754
1600.790075,1081.590998,1477.857626
1519.338481,1033.413451,1417.723930
1441.883260,987.098081,1359.493098
1368.281250,942.593750,1303.125000
1298.394271,899.850246,1248.579938
1232.089027,858.818267,1195.818650
1169.237001,819.449420,1144.802306
1109.714357,781.696208,1095.492514
1053.401845,745.512023,1047.851313
1000.184702,710.851139,1001.841178
949.952562,677.668703,957.425018
902.599357,645.920727,914.566178
858.023235,615.564080,873.228434
816.126464,586.556480,833.376000
776.815348,558.856485,794.973522
740.000141,532.423487,757.986082
705.594961,507.217701,722.379194
673.517707,483.200159,688.118810
643.689984,460.332700,655.171312
616.037014,438.577965,623.503522
590.487565,417.899385,593.082690
566.973872,398.261177,563.876506
545.431562,379.628333,535.853090
525.799582,361.966610,508.981000
508.020124,345.242528,483.229226
492.038557,329.423356,458.567194
477.803359,314.477108,434.964762
465.266044,300.372532,412.392226
454.381104,287.079102,390.820312
445.105935,274.567012,370.220186
437.400783,262.807168,350.563442
431.228674,251.771175,331.822114
426.555358,241.431337,313.968666
423.349248,231.760640,296.976000
421.581364,222.732751,280.817450
421.225275,214.322006,265.466786
422.257042,206.503403,250.898210
424.655169,199.252595,237.086362
428.400546,192.545878,224.006312
433.476399,186.360189,211.633570
439.868241,180.673092,199.944074
447.563822,175.462772,188.914202
456.553082,170.708030,178.520762
466.828106,166.388270,168.741000
478.383076,162.483493,159.552594
491.214230,158.974289,150.933658
505.319817,155.841829,142.862738
520.700058,153.067857,135.318818
537.357105,150.634680,128.281313
555.294998,148.525164,121.730074
574.519636,146.722720,115.645386
595.038729,145.211301,110.007970
616.861770,143.975391,104.798978
640.000000,143.000000,100.000000
664.466370,142.270651,95.593058
690.275512,141.773376,91.560610
717.443706,141.494707,87.885546
745.988854,141.421665,84.551194
775.930442,141.541757,81.541312
807.289520,141.842964,78.840098
840.088671,142.313733,76.432178
874.351986,142.942972,74.302618
910.105037,143.720038,72.436914
947.374854,144.634730,70.821000
986.189902,145.677284,69.441242
1026.580057,146.838360,68.284442
1068.576587,148.109039,67.337834
1112.212128,149.480808,66.589090
1157.520670,150.945559,66.026313
1204.537531,152.495578,65.638042
1253.299345,154.123535,65.413250
1303.844041,155.822479,65.341346
1356.210832,157.585827,65.412170
1410.440192,159.407360,65.616000
1466.573850,161.281210,65.943546
1524.654771,163.201854,66.385954
1584.727143,165.164107,66.934802
1646.836370,167.163113,67.582106
1711.029053,169.194336,68.320312
1777.352987,171.253553,69.142306
1845.857146,173.336846,70.041402
1916.591678,175.440592,71.011354
1989.607893,177.561458,72.046346
2064.958258,179.696390,73.141000
2142.696388,181.842606,74.290370
2222.877044,183.997587,75.489946
2305.556120,186.159073,76.735650
2390.790647,188.325048,78.023842
2478.638782,190.493738,79.351312
2569.159808,192.663598,80.715290
2662.414130,194.833309,82.113434
2758.463271,197.001766,83.543842
2857.369873,199.168069,85.005042
2959.197696,201.331520,86.496000
3064.011614,203.491610,88.016114
3171.877617,205.648014,89.565218
3282.862813,207.800580,91.143578
3397.035427,209.949322,92.751898
3514.464801,212.094415,94.391313
3635.221402,214.236181,96.063394
3759.376817,216.375086,97.770146
3887.003761,218.511730,99.514010
4018.176079,220.646837,101.297858
4152.968750,222.781250,103.125000
4291.457891,224.915922,104.999178
4433.720763,227.051905,106.924570
4579.835774,229.190348,108.905786
4729.882487,231.332482,110.947874
4883.941623,233.479617,113.056313
5042.095071,235.633129,115.237018
5204.425891,237.794459,117.496338
5371.018326,239.965097,119.841058
5541.957802,242.146580,122.278394
5717.330944,244.340480,124.816000
5897.225577,246.548398,127.461962
6081.730737,248.771954,130.224802
6270.936683,251.012781,133.113474
6464.934899,253.272517,136.137370
6663.818109,255.552793,139.306312
6867.680283,257.855231,142.630562
7076.616647,260.181429,146.120810
7290.723694,262.532960,149.788186
7510.099194,264.911357,153.644250
7734.842202,267.318110,157.701000
7965.053070,269.754656,161.970866
8200.833459,272.222371,166.466714
8442.286345,274.722560,171.201842
8689.516035,277.256454,176.189986
8942.628174,279.825195,181.445312
9201.729758,282.429834,186.982426
9466.929146,285.071320,192.816362
9738.336068,287.750490,198.962594
10016.061639,290.468065,205.437026
10300.218368,293.224640,212.256000
10590.920173,296.020675,219.436290
10888.282388,298.856489,226.995106
11192.421779,301.732248,234.950090
11503.456550,304.647961,243.319322
11821.506359,307.603472,252.121313
12146.692327,310.598447,261.375010
12479.137052,313.632372,271.099794
12818.964615,316.704539,281.315482
